"x","y","z"
14496,16890,"fibrous"
9447,15154,NA
12223,15006,NA
15502,13117,"tumor"
10703,9495,NA
14751,19645,"necrosis"
9952,16313,NA
8687,12978,NA
11214,15587,NA
8431,8772,NA
14744,11812,"tumor"
14244,17615,NA
13226,8333,"fibrous"
20047,15434,"tumor"
16763,12391,"fibrous"
11463,11961,"tumor"
17264,8039,"immune"
5912,13706,"fat"
13238,21387,"tumor"
12217,8333,NA
6924,16896,NA
13735,12684,"necrosis"
13224,6012,NA
20300,15869,NA
16766,15292,"fibrous"
17780,19643,"tumor"
17269,12971,NA
11217,19649,NA
10704,9785,NA
9444,12833,NA
10453,11381,"fibrous"
16002,8185,NA
20301,16449,"fibrous"
13237,20517,NA
10462,21245,"fat"
10712,19069,NA
18533,16016,NA
15253,16744,"necrosis"
10449,7320,NA
20548,10792,"fibrous"
10707,13267,NA
17017,13406,NA
13229,10944,"necrosis"
14741,9202,"fibrous"
12220,11525,NA
11214,15877,NA
15000,16309,"fibrous"
16766,15582,"fibrous"
19790,9487,NA
6666,10949,"tumor"
5910,11966,NA
17021,18048,NA
7174,13560,"tumor"
16519,20659,NA
16012,18629,NA
19031,8472,"fibrous"
20801,12097,"fibrous"
10963,17183,NA
7423,9933,"immune"
10451,9641,"fibrous"
13743,21677,"tumor"
17517,8474,"immune"
12470,9059,NA
20043,11082,"tumor"
6413,9934,NA
10459,18054,NA
19537,9632,"fibrous"
6670,15011,"tumor"
20552,14853,"fibrous"
8179,8917,"immune"
15749,7170,"fibrous"
7424,11384,"tumor"
19289,14419,"necrosis"
16005,11376,"fibrous"
19543,15435,NA
15250,13553,NA
19544,17175,"fibrous"
14749,17905,"necrosis"
16507,7894,NA
7424,11094,"tumor"
13487,18051,NA
14996,11667,"tumor"
15755,13842,NA
20801,11517,"fibrous"
6669,13560,NA
13486,16891,NA
8440,18346,"tumor"
10702,7755,"immune"
7935,18056,NA
19286,10358,NA
11212,13266,"tumor"
10707,13847,"immune"
13485,15730,NA
10460,18924,NA
16256,9780,NA
10453,11961,NA
12725,12685,NA
16265,19354,NA
19032,8762,"fibrous"
13982,7026,"fibrous"
10708,15007,NA
13233,15585,NA
19288,13259,"necrosis"
14747,15294,"tumor"
12724,10654,"necrosis"
18023,9924,"immune"
20553,16884,"fibrous"
12978,13410,NA
7930,12544,NA
14495,16019,"tumor"
8432,9352,NA
6167,16462,"immune"
16507,8185,"fibrous"
5914,15737,"immune"
13986,11378,"tumor"
8684,9497,"tumor"
17526,18628,"fibrous"
9951,14863,NA
9945,8481,NA
13990,15440,NA
19537,9052,"fibrous"
20301,16739,"fibrous"
15758,17034,NA
18028,14856,"tumor"
12472,11089,"tumor"
15245,7460,NA
15256,20515,"tumor"
7178,18492,"tumor"
14489,9347,"fibrous"
14500,21531,NA
14742,10362,"necrosis"
9695,11237,"fibrous"
20549,11662,NA
15257,21676,NA
6165,14431,"immune"
17779,18772,"fibrous"
12215,6593,NA
17519,10795,NA
20299,14999,"tumor"
13489,20082,"tumor"
12979,13990,NA
13229,11234,"tumor"
12481,21533,NA
17011,7314,"fibrous"
12471,10509,"necrosis"
8188,18781,NA
18535,17176,NA
13225,7172,NA
12979,13700,NA
7676,11239,"tumor"
16013,20079,NA
11216,18198,NA
10714,20809,NA
10701,7174,NA
13983,8187,NA
11976,21243,NA
10209,20520,"fat"
15244,6590,"fibrous"
9956,20085,NA
14995,10797,"tumor"
18536,18917,NA
8944,18055,"tumor"
9197,18200,"tumor"
17015,11955,"immune"
11723,21099,NA
17516,7023,NA
6666,10659,NA
9190,10657,"tumor"
16003,8765,NA
17018,14276,NA
16005,11086,"fibrous"
8686,10948,"tumor"
10457,16603,NA
17264,7459,"fibrous"
20805,15869,"fibrous"
12472,11669,NA
19285,9488,"fibrous"
13989,13989,"fibrous"
12468,7608,"tumor"
12724,10944,NA
13988,13699,NA
8686,11238,NA
10964,18343,NA
9694,9496,"fibrous"
5658,12401,NA
13993,18921,"necrosis"
18789,19352,"fibrous"
17524,16017,NA
14748,17034,NA
20301,17320,"fibrous"
11465,13991,"tumor"
18528,9923,"immune"
15754,12972,NA
11975,20663,NA
12985,20952,NA
12977,11959,NA
12474,14280,NA
6166,15882,"immune"
12981,16311,NA
18275,9198,"immune"
13741,19646,"tumor"
10964,18924,NA
13989,14569,"tumor"
15762,21095,"tumor"
20803,13838,NA
12223,15296,NA
14492,11958,"tumor"
7935,17766,NA
10712,18779,NA
18031,18047,NA
16510,11376,NA
17518,9924,"immune"
15253,16454,"fibrous"
18527,9053,"immune"
13228,10653,NA
8182,12109,NA
6919,11674,NA
8693,18781,"fibrous"
15501,12247,"tumor"
12227,19938,"tumor"
7932,14575,"tumor"
17270,14131,NA
12479,18922,"tumor"
11458,7029,"immune"
8441,20086,"fibrous"
9441,8481,NA
18283,17902,"fibrous"
10449,7030,NA
12224,16747,NA
8939,11963,NA
13730,7172,"fibrous"
14494,15149,"tumor"
16264,18774,NA
14247,20226,NA
17779,19062,"fibrous"
16763,11521,"immune"
17273,17322,NA
13484,14570,NA
7928,10513,NA
16768,17903,"tumor"
8683,8627,NA
17014,10215,"immune"
19288,13549,"necrosis"
6926,18637,NA
21055,13112,"fibrous"
14500,20951,"tumor"
14248,21386,"tumor"
17771,9779,"immune"
9196,17330,"tumor"
9697,13558,NA
10200,10946,"fibrous"
10202,13557,NA
19793,12968,"necrosis"
18527,8473,"immune"
13737,14424,"tumor"
13990,15730,NA
16514,16017,"tumor"
11465,14281,"tumor"
11461,9640,NA
17270,14421,NA
15248,10652,"tumor"
13488,18921,NA
14244,17325,NA
12733,21388,NA
12478,18052,"tumor"
10962,16313,NA
9190,10367,"tumor"
11469,19213,NA
11974,18923,NA
8694,20521,NA
8692,18200,"tumor"
16006,11956,"fibrous"
18526,8183,NA
6420,17187,"tumor"
11720,17037,NA
15509,21240,"tumor"
16513,14857,"fibrous"
18275,9488,"immune"
20801,11807,"fibrous"
19791,10648,"tumor"
9443,11092,NA
14494,14859,"tumor"
18032,20078,NA
10205,17039,NA
20552,15143,"tumor"
11719,16457,"immune"
8435,12834,"immune"
5910,11675,NA
7936,19797,"fibrous"
12225,17037,NA
20043,10212,"fibrous"
16507,7604,NA
14245,18776,"necrosis"
12977,11669,NA
13478,7897,"fibrous"
12478,18342,"tumor"
8432,9932,"tumor"
8439,16895,NA
18787,17321,"fibrous"
11468,17182,"tumor"
17266,10070,"immune"
13988,12829,"necrosis"
20551,13983,"tumor"
14999,15149,"tumor"
11213,15297,NA
12220,11815,"tumor"
16518,20079,NA
12218,9784,"tumor"
7934,17186,NA
12974,8478,"fibrous"
19285,9778,"fibrous"
20048,16594,"fibrous"
18530,11664,"necrosis"
12720,6302,"immune"
14497,17760,"necrosis"
12975,9058,NA
14240,12973,"necrosis"
18283,17611,NA
15503,13698,NA
20552,15434,"tumor"
11715,11815,"tumor"
11466,15152,NA
19796,17030,"fibrous"
11461,9930,NA
8441,19506,"fibrous"
11967,11090,"tumor"
18528,10213,NA
11469,18633,NA
8685,10658,"tumor"
10204,15588,NA
16010,16598,NA
13481,10508,NA
19790,9777,NA
19796,16160,"tumor"
19545,17755,NA
18021,7893,"immune"
11717,13846,NA
11717,14426,NA
12978,12539,NA
6162,11240,NA
11971,16022,NA
15501,11377,"fibrous"
14245,18195,NA
17517,7894,"fibrous"
14240,12683,"necrosis"
13225,7462,"fibrous"
12730,17326,NA
14991,6445,"fibrous"
10707,13557,"immune"
16006,11666,"fibrous"
14490,10507,"necrosis"
7170,9208,NA
9697,12977,NA
15754,12392,NA
7682,17331,NA
19039,16886,"fibrous"
9954,18054,NA
11970,15151,NA
12976,10799,"necrosis"
10703,9205,"fibrous"
17516,7313,"fibrous"
12472,11960,NA
20045,13113,"necrosis"
9956,20665,"fat"
15250,13263,"tumor"
11219,21389,"fat"
7680,15010,"tumor"
17268,12390,NA
14499,20661,"tumor"
6419,16897,"tumor"
18022,9054,"immune"
6667,11530,NA
13735,12974,"necrosis"
13226,7752,"fibrous"
10966,20374,"tumor"
17019,15437,"fibrous"
17016,12826,NA
12223,15586,NA
12229,21678,NA
11968,12830,NA
17023,20369,NA
15755,14132,"tumor"
9450,19215,"fat"
11720,17327,"tumor"
6666,10369,NA
16002,7895,NA
16761,10070,"immune"
11215,16748,NA
20047,14564,"tumor"
15500,10506,NA
7675,10368,NA
12981,16601,NA
20549,11952,"tumor"
7677,11819,NA
10450,8190,NA
14239,11813,"tumor"
17525,17467,NA
21056,14563,"fibrous"
21307,12387,NA
14994,9927,"tumor"
15506,17759,"necrosis"
10704,10366,NA
10450,8480,NA
13477,6157,NA
13490,20372,"tumor"
11963,7028,"tumor"
9952,15733,NA
15256,19935,NA
6667,11240,"tumor"
6162,10950,NA
9446,14283,NA
6165,15011,NA
13739,17035,"tumor"
10199,10366,"fibrous"
11470,20084,NA
16258,11521,"fibrous"
12727,14425,NA
12982,17181,NA
8940,13413,"tumor"
15252,15583,"tumor"
14747,15004,"tumor"
10454,13122,NA
12722,9203,NA
10208,19940,NA
6414,10805,NA
11972,16892,NA
7927,9933,NA
5406,13126,"fat"
6919,10804,NA
16509,9635,"immune"
16261,15292,"fibrous"
13485,15150,NA
20043,10502,"fibrous"
11468,18053,NA
7933,16605,NA
16010,16888,NA
19543,16305,"tumor"
20043,10792,"tumor"
8688,13559,"tumor"
17527,19208,NA
8685,10077,"tumor"
19798,18480,NA
18274,8328,"immune"
15251,14713,"tumor"
16760,8329,"fibrous"
13235,18486,NA
8684,8917,"immune"
15752,10651,"fibrous"
17769,7748,"fibrous"
6917,9354,NA
13486,16310,NA
5912,13996,"fat"
9442,9641,NA
11208,9785,"fibrous"
5913,15447,"immune"
10954,7029,"immune"
10960,13992,NA
10203,14137,NA
12980,14860,NA
11459,7609,"immune"
20045,12823,"necrosis"
14247,20516,NA
11971,15731,"immune"
17273,17902,"tumor"
10706,12686,"tumor"
21057,15433,"fibrous"
17021,18338,NA
6167,17042,NA
13486,16020,NA
11714,10365,"tumor"
7933,16315,NA
15251,14133,NA
12972,6447,"immune"
8440,18926,"fibrous"
10714,21100,"fat"
15252,16164,"fibrous"
12973,7027,"immune"
13734,11233,"tumor"
16264,18193,NA
15248,11522,NA
6671,16462,"tumor"
14752,21386,"tumor"
9701,17909,"tumor"
6414,10515,NA
11218,20229,"tumor"
8946,20086,NA
19795,15869,"tumor"
13488,18341,NA
11724,21679,NA
20048,16014,"tumor"
15249,12392,"tumor"
11965,8769,NA
13991,16310,NA
6925,17767,NA
16764,13261,"fibrous"
15508,19210,NA
14998,13408,"tumor"
19292,17320,"fibrous"
15753,10941,"fibrous"
7174,14140,"tumor"
20297,12968,NA
7932,15445,NA
14237,10072,NA
13487,17471,NA
14744,11522,NA
14996,11377,NA
8688,13268,"tumor"
13991,17180,NA
12221,12685,NA
12972,6157,NA
7429,16896,NA
14994,9346,"fibrous"
17775,14421,NA
7928,10803,NA
17267,10650,"immune"
16255,8040,NA
13731,8042,"fibrous"
14992,7316,NA
10957,10801,NA
15000,16599,"fibrous"
11470,20374,NA
14237,9782,"tumor"
10205,16458,NA
20801,11227,"fibrous"
17272,16162,NA
11972,17182,"tumor"
13990,16020,NA
16011,17178,NA
17524,15726,"tumor"
14500,21241,"tumor"
11206,6884,NA
12975,9928,"necrosis"
15504,14858,"tumor"
14492,12538,"necrosis"
20553,16014,"fibrous"
11219,21099,NA
17264,7168,"fibrous"
17023,20659,NA
15755,13262,NA
11713,10075,"tumor"
11975,20373,NA
7930,12834,"immune"
12978,12829,NA
14752,21096,"tumor"
11723,20809,NA
16516,18048,NA
14238,10943,"necrosis"
16767,16452,NA
9696,12107,NA
7683,19072,"fibrous"
11721,17907,NA
12725,12395,NA
17522,14276,NA
7424,11964,NA
15756,14423,"tumor"
13479,9058,NA
9949,12252,NA
13738,15585,NA
11212,13556,NA
14243,16745,"tumor"
6665,9789,"tumor"
16513,14567,"fibrous"
19545,18336,NA
17017,13696,NA
20295,10647,NA
17266,10360,"immune"
6162,11820,NA
10711,17908,NA
7936,19216,"fibrous"
9441,9351,NA
8937,10222,"tumor"
10702,7465,"immune"
19538,10503,"tumor"
13233,15295,NA
17517,8764,"immune"
5910,12256,NA
11975,19793,"tumor"
10451,9350,"fibrous"
9694,10076,"fibrous"
10966,20664,NA
14492,12248,"necrosis"
8431,9062,"immune"
12469,7898,"tumor"
7676,10949,NA
9952,15443,NA
15003,19210,"necrosis"
18031,18917,"fibrous"
12216,7753,"tumor"
15248,10942,"tumor"
17266,9779,"immune"
17022,18918,"fibrous"
7935,18346,"tumor"
8689,14429,"tumor"
16257,10651,NA
19031,8182,"fibrous"
10458,17183,NA
7929,11964,"tumor"
9954,18634,"fat"
14247,20806,"tumor"
11460,9059,"fibrous"
18535,17466,"fibrous"
13736,13844,"fibrous"
14740,7171,NA
13483,13119,"necrosis"
17525,17177,NA
16006,12537,NA
6417,14576,"immune"
11974,19213,NA
15503,14568,"tumor"
14742,10072,"tumor"
18531,13405,"necrosis"
16514,15147,"fibrous"
7678,13269,NA
18783,12389,"necrosis"
10702,8335,"fibrous"
16004,9345,NA
11464,12831,NA
15250,12972,"tumor"
14746,14714,"fibrous"
12471,10799,NA
12471,10219,"necrosis"
13987,12538,NA
13736,13554,"tumor"
17771,10069,"immune"
17522,13696,NA
12227,20228,"tumor"
21057,15723,"fibrous"
8944,17185,"tumor"
19286,11228,"necrosis"
8937,9932,"tumor"
13732,9783,"tumor"
19790,10357,"fibrous"
12721,7463,"tumor"
8943,16895,"tumor"
9198,19941,"fat"
12469,8768,NA
12982,17761,NA
11217,19068,NA
15497,7895,"fat"
11467,16892,NA
12720,6592,"immune"
6166,16172,"immune"
19543,15725,"tumor"
11721,18198,NA
13237,20227,NA
14741,8911,"fat"
17274,19063,NA
10959,13121,"tumor"
16007,12827,NA
6166,15592,"immune"
18536,19207,"fibrous"
11712,8044,"immune"
9189,8916,NA
14497,18050,"necrosis"
11973,17472,"tumor"
15004,20951,"tumor"
13232,15005,NA
10959,13412,NA
16511,12536,"fibrous"
16260,13552,"fibrous"
14234,6591,"fibrous"
9449,17474,NA
12731,19067,"tumor"
9192,12978,NA
10955,8480,"fibrous"
11722,19648,NA
19039,16595,"fibrous"
10956,9930,NA
13739,17616,NA
12475,14861,NA
8935,8191,"fibrous"
19034,11373,"necrosis"
13483,12829,"necrosis"
15760,19064,NA
13733,10073,NA
9451,20085,"fat"
11716,12686,NA
6672,17042,NA
6921,13415,"immune"
8686,11528,NA
8938,10802,"tumor"
16260,13842,"fibrous"
8180,10368,"tumor"
19792,11808,"necrosis"
13742,19936,"tumor"
12721,8043,NA
19538,9922,"fibrous"
18780,9198,"immune"
5660,14142,"fat"
9703,19650,NA
7936,19506,"fibrous"
8182,12689,NA
18531,12824,"necrosis"
21055,13693,"fibrous"
7173,12980,NA
9197,17910,"tumor"
9444,12252,NA
11207,8624,"fibrous"
14241,13844,"fibrous"
12215,6883,"tumor"
17769,7458,"fibrous"
10955,8190,NA
18283,18192,NA
9950,13993,NA
10202,12977,NA
11208,9495,NA
12726,13265,NA
11717,13556,NA
12726,13555,"tumor"
13994,20371,NA
20296,11517,NA
8692,18490,"tumor"
11215,17038,"tumor"
18021,7603,"fibrous"
12224,15876,"immune"
16007,13407,"fibrous"
15752,9781,"fibrous"
12222,14426,NA
8183,13559,NA
7681,16461,NA
9696,11817,NA
9698,13848,NA
11465,14571,"tumor"
17013,9345,"immune"
6413,10224,NA
18277,11519,"necrosis"
9949,12542,NA
16004,9636,NA
13479,8477,"fibrous"
11459,7899,"immune"
12228,20808,NA
15508,20080,NA
19541,13984,"necrosis"
19041,18916,NA
16511,12246,"fibrous"
15505,16599,NA
11715,12105,NA
10702,8045,NA
14998,13698,NA
11216,18488,NA
16761,9200,"immune"
11968,12250,NA
9443,11672,NA
13232,14135,NA
7431,18637,NA
11218,20519,NA
15757,15583,NA
11466,15732,NA
19034,11083,"necrosis"
10709,15588,NA
11210,11235,NA
10199,10076,"fibrous"
15249,12102,"necrosis"
18276,10359,NA
9188,8626,NA
19794,14129,NA
7927,9353,NA
6670,15301,"tumor"
18023,9344,"immune"
8187,17330,NA
13733,10943,NA
20553,16594,"fibrous"
11209,10365,NA
21056,14853,NA
19035,12824,"necrosis"
11467,16602,NA
13737,15295,NA
11464,13411,"tumor"
10203,13847,NA
11471,20664,NA
12221,13265,"tumor"
11211,12106,"tumor"
10456,15153,NA
12218,10074,"tumor"
9447,16024,NA
14748,16744,"fibrous"
18274,7748,"fibrous"
11965,9059,NA
8187,17621,NA
11964,7899,"immune"
11471,21534,"fat"
8184,14429,"tumor"
9195,16169,"tumor"
9949,12832,NA
11713,9784,NA
12225,17327,NA
15506,16889,"necrosis"
16260,14422,NA
10712,19359,NA
16511,12826,NA
16770,19644,NA
10964,18053,NA
17776,15291,NA
19287,11808,"necrosis"
15254,17324,"necrosis"
13986,11088,"necrosis"
13738,16165,NA
10199,9786,"fibrous"
11207,8044,"immune"
6673,18202,"tumor"
13227,9493,"tumor"
16012,18919,NA
7427,15155,"tumor"
21057,15143,"fibrous"
17779,18482,NA
11212,14137,"tumor"
10958,11671,NA
15003,19500,"necrosis"
18275,9779,"immune"
12978,13120,NA
18024,10504,NA
5658,12111,NA
15505,16018,"fibrous"
16263,16743,"tumor"
7422,9643,"tumor"
14995,10507,"tumor"
20302,17610,"fibrous"
8436,13994,NA
18032,19497,NA
11460,9350,"fibrous"
8440,18055,"tumor"
20048,15724,"tumor"
10960,14282,NA
9704,20810,"fat"
20806,16739,"fibrous"
10709,15878,NA
7929,11093,NA
9954,17764,NA
11208,9205,"fibrous"
11972,16602,NA
14993,8476,"fibrous"
11719,15877,NA
16013,20370,NA
16001,7025,"fibrous"
18284,19062,"fibrous"
11471,20954,NA
18533,15435,"tumor"
13478,7317,"fibrous"
13740,17906,"tumor"
6164,13271,NA
18022,8473,"immune"
10457,16313,NA
20803,13258,NA
6668,13270,NA
12974,8768,NA
17771,10649,NA
9190,10947,"tumor"
17020,17177,NA
15505,16308,"fibrous"
14488,8476,NA
16764,12971,"fibrous"
6164,14141,NA
17268,11810,NA
18022,8763,"immune"
10456,14862,NA
15246,9491,"fibrous"
9443,11382,NA
15756,14713,"tumor"
10965,19504,NA
14751,19355,"necrosis"
8181,10948,NA
9193,14428,NA
7170,10079,NA
13983,7317,"fibrous"
16011,17759,NA
19041,18626,NA
15005,21531,NA
8687,12688,"immune"
20044,11373,NA
8938,10512,"tumor"
15507,18919,"necrosis"
12226,18777,"tumor"
13991,16600,NA
13733,10363,"necrosis"
6162,11530,NA
11720,16747,NA
16509,10215,"immune"
7424,11674,NA
8945,18345,"tumor"
9946,9351,"fibrous"
15002,18630,"necrosis"
13742,20807,NA
14498,19501,"necrosis"
11722,19068,NA
13485,15440,NA
11718,14716,NA
15004,20661,"tumor"
11718,15006,NA
20047,14854,"tumor"
8941,14574,NA
6418,15736,"immune"
12477,17182,NA
20295,10357,"fibrous"
20301,17029,"fibrous"
15509,20950,"tumor"
12479,19793,NA
21056,14273,"fibrous"
20299,14128,"tumor"
11968,11960,"tumor"
14741,8331,"fibrous"
12983,18922,"tumor"
15251,15003,"tumor"
8183,12979,"tumor"
13992,18341,NA
5407,14287,NA
7683,18781,"fibrous"
14238,10653,NA
17523,14566,NA
15502,13407,NA
14996,11087,"tumor"
11215,17328,"tumor"
15762,21385,"tumor"
10701,6884,NA
14236,8622,"fat"
10461,20665,NA
10707,12977,"tumor"
7684,19652,"fibrous"
10706,12396,"tumor"
19792,12388,"necrosis"
11462,11090,NA
15753,11521,"fibrous"
13228,10073,"necrosis"
7675,10078,NA
18788,18191,NA
11212,13846,NA
19293,18191,NA
14236,8332,"fibrous"
13229,11814,NA
14235,7751,NA
14235,7461,NA
9700,15879,NA
13740,18196,"tumor"
12477,17472,NA
8437,14864,"tumor"
20800,10647,"fibrous"
10962,16893,NA
14488,7896,NA
17269,12681,NA
8690,16170,NA
16514,15437,"fibrous"
8944,17765,"tumor"
15000,16019,"tumor"
19285,10068,"fibrous"
17528,20368,NA
8689,15299,NA
16768,17033,NA
14992,7025,"fibrous"
15249,11812,"tumor"
18780,9778,"immune"
16257,10941,NA
11465,14862,"tumor"
10452,11091,NA
20805,16159,"fibrous"
9194,15299,"immune"
6668,12980,NA
6670,14721,"tumor"
14491,11378,"tumor"
17012,8184,"immune"
14243,16165,"tumor"
16769,18193,NA
15003,18920,"necrosis"
20300,15579,"tumor"
19795,15289,"tumor"
8938,11092,"tumor"
13232,14715,NA
19284,8907,"fibrous"
19289,14709,"necrosis"
9703,19940,NA
13480,10218,"necrosis"
7172,11819,NA
8689,15009,"tumor"
9451,20666,"fat"
19291,16740,"fibrous"
18274,8038,NA
12981,15731,NA
10957,11091,NA
16262,16453,"tumor"
9196,17620,"tumor"
17276,20513,NA
14745,13553,NA
13484,13989,NA
10709,16168,NA
16001,6734,"fibrous"
10200,10656,"fibrous"
16512,13116,"fibrous"
18787,17031,"fibrous"
14235,6881,"fibrous"
8435,12543,NA
9441,9061,NA
15257,20805,"tumor"
5658,11821,NA
7428,15736,NA
8185,15590,NA
15507,18049,"necrosis"
20803,14128,"fibrous"
6924,16606,NA
13982,6736,"fibrous"
15760,19644,NA
5660,15012,NA
5407,13707,NA
16767,15872,"tumor"
12975,9348,NA
10197,7465,NA
16262,15873,"fibrous"
9445,13123,NA
12720,7173,NA
18536,18336,NA
13231,13555,NA
12225,17617,"tumor"
12471,9929,NA
10962,16603,NA
6163,12400,NA
14498,18630,"necrosis"
6416,13416,NA
11207,7754,"immune"
12218,9494,NA
6416,12835,NA
8942,15734,"immune"
17022,19208,NA
12721,7753,"tumor"
10963,17763,NA
20046,13693,NA
20044,12243,"necrosis"
9695,10367,"fibrous"
11459,8189,NA
14749,17615,"necrosis"
12724,11524,NA
16008,13987,NA
11967,11380,NA
9701,17039,NA
5914,16317,"immune"
8183,13269,NA
10196,6885,NA
11469,18923,NA
9693,8336,NA
8435,13124,"tumor"
6163,12981,NA
15246,8911,"fibrous"
14499,19791,"necrosis"
6924,16316,NA
11210,11526,NA
18527,8763,"immune"
11213,15007,"tumor"
19291,16160,"tumor"
7932,15155,"tumor"
9697,12687,NA
10207,19069,"tumor"
8685,10367,"tumor"
13994,20081,NA
12217,9204,NA
7934,17476,NA
9693,8626,"tumor"
18784,13549,"necrosis"
15758,16453,"fibrous"
12216,7463,"tumor"
12224,16456,"immune"
14489,9637,"tumor"
14745,12973,NA
16765,14422,NA
19034,11664,"necrosis"
7682,17621,NA
15758,16743,NA
15254,17614,"necrosis"
8684,9207,NA
9198,19360,NA
11459,7319,"immune"
13236,18776,NA
18276,10649,NA
19293,18771,NA
12217,8914,NA
15507,18339,"necrosis"
19038,15725,NA
13233,15875,NA
10203,14428,NA
6918,9934,NA
16516,17758,"tumor"
16759,7749,"fibrous"
10449,7610,"immune"
9193,13848,NA
13989,14279,"tumor"
10452,10221,"fibrous"
13234,17036,NA
15252,15293,"tumor"
7426,13705,NA
12476,16021,"immune"
8687,12108,NA
6923,16026,"tumor"
13235,17616,NA
17523,15146,NA
20549,12533,NA
15506,17469,"necrosis"
17527,18918,"fibrous"
13730,7462,"fibrous"
8438,16025,NA
9450,18925,NA
15753,11812,"fibrous"
16258,11811,"fibrous"
13490,21242,"tumor"
15244,6880,"fibrous"
8946,19796,NA
15251,14423,"tumor"
17267,11520,NA
13996,21822,NA
15002,17759,"necrosis"
8939,12253,NA
16263,17613,NA
12468,7318,"tumor"
16766,15002,NA
9696,11527,"fibrous"
9948,11672,NA
19036,13694,"necrosis"
18530,11954,NA
8693,19651,"fibrous"
7682,17911,NA
8179,8627,"fibrous"
12728,15586,NA
17519,10505,"immune"
20551,14273,"tumor"
6672,17622,"tumor"
10956,9350,NA
9451,20375,"fat"
12226,18197,"tumor"
9189,9787,"tumor"
18782,11809,NA
9191,11527,NA
16009,15148,NA
11964,7608,"immune"
13739,16745,NA
10713,20519,NA
8180,10078,"tumor"
7931,13994,NA
15500,11087,NA
16761,9780,"immune"
8943,16605,"tumor"
9442,10222,"tumor"
9703,20230,"fat"
8431,8192,NA
18788,17901,"fibrous"
11716,12395,NA
12224,16166,"immune"
15749,6590,"fibrous"
15508,19500,NA
14742,9782,"tumor"
19796,16740,"fibrous"
9700,16459,"tumor"
16257,10070,NA
5911,12546,NA
13994,19791,NA
14491,11087,"tumor"
15256,20225,NA
14743,10652,"necrosis"
10958,11961,NA
9702,18199,NA
15752,10071,NA
10451,9931,"fibrous"
14493,13408,"tumor"
8940,13703,"tumor"
13985,10218,"necrosis"
14753,21676,NA
17265,8619,"immune"
12723,10074,"necrosis"
19291,16450,NA
17015,11665,"immune"
16510,11086,"immune"
7179,19072,"fibrous"
9195,15589,NA
8435,13414,NA
11969,13411,"tumor"
16255,8620,NA
13984,9347,NA
16518,20369,NA
17778,17612,NA
5657,11531,NA
15754,12682,NA
6164,13851,NA
7930,13124,"tumor"
7681,17041,NA
9442,10512,"tumor"
20804,14418,"fibrous"
10709,15297,NA
16519,20949,NA
11214,16167,NA
15754,12102,NA
17012,8474,"immune"
15247,9781,"fibrous"
10458,16893,NA
12473,13120,NA
6671,15881,NA
9193,13558,NA
17778,18192,NA
14487,7026,NA
18786,15870,"tumor"
8183,13849,NA
16256,9200,NA
17774,13841,NA
16512,13697,"fibrous"
9191,11237,NA
9698,14428,NA
11467,16312,"immune"
18277,11229,NA
18780,9488,"immune"
14994,9056,NA
