barcode,x,y,pred_3PCs_k7,refined_pred_3PCs_k7,pred_10PCs_k7,refined_pred_10PCs_k7
Cell_523,12545.926479971644,-2277.1313954862344,0,0,5,5
Cell_524,3356.3993684210527,-2300.6416842105264,1,1,1,1
Cell_525,3607.285243249969,-2318.8582182406367,2,2,1,1
Cell_527,9188.23651235642,-2302.8447035618983,5,2,0,2
Cell_528,1357.3006037496027,-2342.230695900858,4,4,0,4
Cell_529,8217.042637122833,-2311.1021444458434,0,0,2,2
Cell_530,9380.86202759448,-2317.1535692861426,2,2,2,2
Cell_531,9794.00145658846,-2320.6014149716484,0,0,5,5
Cell_532,11382.334001359912,-2373.467845256415,1,1,2,2
Cell_534,4021.1535896529076,-2358.057090890719,0,0,1,1
Cell_535,1433.9199215558099,-2363.556545187122,4,4,4,4
Cell_536,10183.901622498648,-2359.514169821525,2,0,5,5
Cell_537,12979.17099544702,-2367.4846854304637,6,6,0,0
Cell_538,2676.5566769792567,-2385.187655322818,4,4,4,4
Cell_539,6299.526419146978,-2384.8474071801165,0,0,1,1
Cell_540,10913.24751222318,-2382.218521714121,3,3,3,3
Cell_541,3861.974471728218,-2394.6819473090245,0,0,1,1
Cell_542,9879.706016987946,-2402.255124357866,0,0,5,5
Cell_544,11910.411625450703,-2418.077575845868,0,0,5,5
Cell_545,56.79647507858107,-2397.136955545577,3,5,1,1
Cell_547,12793.886234223655,-2400.143997651893,3,3,3,3
Cell_548,4897.680806481654,-2403.217498603092,2,2,1,1
Cell_549,9065.103145478377,-2435.4258191349936,2,2,2,2
Cell_550,1519.775072054585,-2442.446326686665,4,4,4,4
Cell_551,12339.975925462732,-2476.5818534267128,3,3,3,5
Cell_552,8971.452567608629,-2480.7585536311153,2,2,2,2
Cell_553,8762.017298556959,-2481.3356637088823,5,5,0,0
Cell_554,10775.797955850589,-2477.902323376008,0,0,2,2
Cell_555,5875.07868852459,-2468.329309488326,2,2,1,1
Cell_556,9214.418371141688,-2491.5673732490395,2,2,2,2
Cell_557,7949.356976611088,-2481.914800259453,0,0,2,2
Cell_558,8375.271878188525,-2507.4260262145826,2,2,2,2
Cell_559,4675.608398987057,-2501.907357906584,2,2,1,1
Cell_560,8619.853753656158,-2505.9441555627773,6,6,0,0
Cell_561,10357.302654356608,-2515.3481438738213,6,6,0,0
Cell_562,10908.300122216908,-2515.183750464956,3,3,2,2
Cell_563,9323.36140485804,-2518.036210985067,2,2,2,2
Cell_564,11593.626422463134,-2542.1200592552686,5,5,0,0
Cell_565,11701.318829445454,-2543.315616706244,5,5,3,5
Cell_566,6260.788397992902,-2527.96724187166,0,0,1,1
Cell_567,3188.882249182585,-2567.109017380829,3,3,1,1
Cell_568,1894.2250187611846,-2578.2832650233795,4,4,4,4
Cell_569,7833.776540652511,-2592.445321940273,0,0,2,2
Cell_570,5160.499735589635,-2568.470474175921,2,2,6,6
Cell_571,4750.559976914432,-2604.1309498496407,0,0,1,1
Cell_573,9406.123972292356,-2577.8192529293715,3,3,3,2
Cell_575,9640.303373893803,-2588.301898967552,2,3,2,2
Cell_576,10758.184289426345,-2600.2797821307213,1,1,3,3
Cell_577,12354.714457624204,-2600.379061371841,2,2,5,5
Cell_578,3543.3048075567463,-2602.215423657127,3,3,6,6
Cell_580,11423.227783415483,-2617.730719049,0,0,5,5
Cell_581,4380.546015770907,-2625.934426229508,6,6,0,0
Cell_582,8859.519299087855,-2609.6089294287085,2,2,2,2
Cell_584,11070.157117198025,-2634.4453075886845,0,0,5,5
Cell_585,12081.764841321616,-2619.7217851797845,0,0,5,5
Cell_588,8246.641001506025,-2650.385604919679,4,4,4,4
Cell_589,8470.13893025315,-2634.5527025395418,1,1,2,2
Cell_591,6267.937185804589,-2662.7124583146688,2,2,1,1
Cell_592,6510.625669045496,-2635.121041480821,5,5,6,6
Cell_593,7153.1762709467575,-2640.240330905749,5,0,0,0
Cell_594,12681.634820112464,-2654.794944586996,2,2,5,5
Cell_595,8105.333286739353,-2696.457459696207,5,5,4,4
Cell_596,7388.5661657189285,-2676.173517465475,0,0,5,5
Cell_597,3604.544609213565,-2686.614136380212,3,3,6,6
Cell_599,10480.248647384944,-2700.224667690869,0,0,2,2
Cell_600,12540.942860037483,-2688.598348614559,0,0,5,5
Cell_601,5183.156844922487,-2704.9157703378282,2,2,6,6
Cell_602,5835.864819391135,-2696.002208317998,5,5,0,0
Cell_603,9499.308780891895,-2715.613074692807,3,3,6,6
Cell_604,1302.519166019166,-2723.030044030044,4,4,4,4
Cell_605,9599.84628111604,-2713.125517033917,3,3,3,3
Cell_606,12245.15578396733,-2707.899738448125,2,2,5,5
Cell_607,13766.040384044343,-2718.9851034346234,6,6,0,0
Cell_609,13659.665962099123,-2725.6951166180756,6,6,0,0
Cell_610,7883.186997767856,-2720.1506138392856,0,0,2,2
Cell_611,9169.415213523132,-2727.0021352313165,0,0,3,2
Cell_612,12035.212904248574,-2730.176918199112,2,2,5,5
Cell_613,10107.571923343341,-2753.158816285693,0,0,2,2
Cell_614,7146.9185265936085,-2762.6715244707093,0,0,1,1
Cell_615,4501.69393366558,-2749.463000515553,0,0,1,1
Cell_616,13152.812285427559,-2755.9526752231554,5,5,0,0
Cell_617,8902.434525080043,-2774.296157950907,5,5,0,0
Cell_618,11024.439561519934,-2761.817234429533,1,0,2,2
Cell_619,4278.245867313202,-2773.760800088164,5,5,0,0
Cell_620,6125.4983915167395,-2756.5185273442157,4,4,4,4
Cell_621,3308.4597887615632,-2755.24485710341,2,2,1,1
Cell_622,7457.7196646774655,-2762.8004167850713,2,0,1,1
Cell_623,9888.003608516095,-2774.2351148710964,0,0,5,5
Cell_625,10876.802909497832,-2805.5304238355016,0,0,5,5
Cell_626,12590.237799290864,-2814.2448109637066,0,0,5,5
Cell_627,7895.625663589843,-2823.6213592233007,0,0,2,2
Cell_628,8243.272920669777,-2836.964486686797,5,5,0,0
Cell_629,5898.841770908376,-2819.3095815050106,5,5,4,4
Cell_630,6639.1051018568605,-2828.540111772129,4,4,4,4
Cell_631,2876.790802927865,-2823.883220651506,4,4,4,4
Cell_632,11668.687449478086,-2821.1651846905424,0,0,5,5
Cell_633,6494.381793245329,-2835.134236242071,4,4,4,4
Cell_634,2423.914653383147,-2856.5571606475714,4,4,4,4
Cell_635,3480.760387252925,-2841.6495562726905,5,5,6,6
Cell_637,6720.130916154096,-2835.816769180965,4,4,4,4
Cell_638,7023.0975683496745,-2851.6259663974433,0,0,5,5
Cell_639,10540.23349022964,-2860.314113535873,0,0,5,5
Cell_640,13118.952590959208,-2869.3089104941364,5,5,0,0
Cell_642,10007.907065706573,-2862.7769464446446,2,2,2,2
Cell_643,11886.481489820206,-2864.1912772184883,0,0,3,5
Cell_644,9342.740478397924,-2883.394956424995,0,0,2,2
Cell_646,11330.104060473665,-2889.416553972052,1,1,6,6
Cell_647,153.16978417266188,-2884.2093525179853,5,5,6,6
Cell_648,8815.986072423399,-2901.769071794411,1,1,2,2
Cell_649,9542.045269286757,-2895.484958757885,2,2,2,2
Cell_651,3882.5834255502273,-2913.0630148776595,3,3,6,6
Cell_652,2398.603375896449,-2948.421199930033,4,4,4,4
Cell_653,8501.546103025661,-2934.131654538491,2,2,2,2
Cell_654,12926.02696931718,-2967.2590168500205,5,5,0,0
Cell_655,3129.341524757663,-2963.4027246528685,4,4,4,4
Cell_656,788.2033155847589,-2940.752010875722,1,1,6,6
Cell_657,629.8147021999642,-2968.1242622071186,1,1,0,6
Cell_658,139.79772757299511,-2972.3933148368346,5,5,6,6
Cell_659,2617.700547730829,-2972.7917057902973,4,4,4,4
Cell_661,9938.92293977813,-2987.0834653988372,5,5,0,0
Cell_662,10407.896252204586,-2975.6286596119926,0,0,5,5
Cell_663,4379.092704808373,-2990.079326355552,3,3,3,0
Cell_664,10044.187956529486,-2981.734307262901,5,5,4,4
Cell_665,5883.443242166755,-2986.6988847583643,3,3,6,6
Cell_666,4932.75169036061,-2986.1155079750347,2,5,1,0
Cell_667,11722.59234777574,-2967.6009842709636,5,5,6,6
Cell_668,10839.360551282769,-3006.0455285465673,0,0,5,5
Cell_670,2835.458720524252,-3002.1064618359565,4,4,4,4
Cell_671,11273.085073201784,-2999.802418841502,1,1,6,6
Cell_672,12515.513342882912,-3001.3748739986213,2,2,5,5
Cell_673,1547.1496354458775,-3013.925911385306,5,5,4,4
Cell_674,1244.6431395397228,-3048.4453785009778,6,6,0,0
Cell_675,13673.545295770371,-3012.4351887007365,6,6,0,0
Cell_677,3691.825081511895,-3024.4784446322906,2,2,1,1
Cell_678,9453.903776715135,-3035.8316580462565,2,2,2,2
Cell_679,8243.873990661907,-3026.989014007141,2,2,2,2
Cell_680,2358.0693064577763,-3043.666459686664,4,4,4,4
Cell_681,3817.7915890338036,-3058.4465264838973,2,2,6,6
Cell_682,8978.076134122288,-3061.6869822485205,3,3,3,3
Cell_683,9279.678230932202,-3050.1325918079096,3,3,6,2
Cell_684,10130.150963426933,-3068.4330378470195,4,4,4,4
Cell_685,12377.327016306743,-3068.518192057196,2,2,5,5
Cell_686,8573.483808719773,-3067.2795031055903,1,1,2,2
Cell_687,2728.1598922338057,-3085.2604544922106,4,4,4,4
Cell_688,9121.914787296995,-3070.5323821421525,3,3,3,3
Cell_689,752.2757794676806,-3086.247946768061,1,1,6,6
Cell_690,2569.6102011293106,-3095.052125624154,4,4,4,4
Cell_691,5730.760681240093,-3076.250562170532,1,1,6,6
Cell_692,5889.51979805979,-3106.5624133834885,1,1,6,6
Cell_693,3605.7832772705433,-3104.6440584883644,2,2,1,1
Cell_694,8421.82225890769,-3087.3010042646856,3,3,2,2
Cell_695,1971.5562997986167,-3089.067375886525,4,4,4,4
Cell_696,5281.154065090954,-3111.867838138844,5,5,0,0
Cell_697,12520.830922330095,-3119.364126213592,0,0,5,5
Cell_698,5162.241007777056,-3109.7346079066747,5,5,0,0
Cell_699,12843.98581861413,-3102.6895380434785,6,6,0,0
Cell_700,3109.3718163044546,-3115.296882682663,3,3,6,6
Cell_701,6561.9608535794105,-3126.322110878812,2,4,1,4
Cell_702,7830.611671430883,-3152.971414702551,5,5,6,6
Cell_703,964.340937256162,-3156.994675724056,5,1,4,4
Cell_705,8632.113784949228,-3152.7077479482537,1,1,0,2
Cell_706,10847.155834136933,-3134.1131629701063,2,0,5,5
Cell_709,10537.95958780511,-3176.676559977205,5,0,6,5
Cell_710,4695.3617613200295,-3208.645961243284,5,5,0,0
Cell_711,7599.75807988909,-3194.7172255437126,4,5,4,4
Cell_712,13191.12100886918,-3199.390687361419,5,5,0,0
Cell_714,3493.991927671941,-3211.808976428802,2,2,1,1
Cell_715,1957.646922915354,-3218.7018133445354,4,4,4,4
Cell_716,2296.2310702272257,-3240.326354088007,4,4,4,4
Cell_717,9433.626521030948,-3237.342962537128,2,2,3,2
Cell_720,4851.737790343145,-3222.5469261045514,1,1,0,0
Cell_721,3163.1275102185887,-3261.2718144659675,2,2,1,1
Cell_723,9179.914874057731,-3251.3877918735056,0,0,2,2
Cell_724,5420.8777454780375,-3292.023158914729,0,5,1,1
Cell_726,3398.559895833333,-3276.1953125,2,2,1,1
Cell_727,4023.7366710306533,-3294.917972100582,5,5,6,6
Cell_729,3834.5000666933443,-3289.026277177538,2,2,1,1
Cell_731,2607.8250893921336,-3307.973513441929,4,4,4,4
Cell_733,8987.674425934263,-3300.910895992796,2,2,2,2
Cell_736,4817.730285572694,-3353.1290962026887,6,6,0,0
Cell_738,12381.584829928472,-3345.110070498637,3,3,3,5
Cell_739,2867.6110561353003,-3324.503643396905,4,4,4,4
Cell_740,8490.711434580016,-3372.4931343037397,1,1,2,2
Cell_741,13336.230149253734,-3368.38592750533,5,5,0,0
Cell_742,3517.274737394958,-3374.0822478991595,5,5,0,0
Cell_743,8228.23807147135,-3367.2023857057293,2,2,3,2
Cell_744,2287.453808353808,-3369.241400491401,4,4,4,4
Cell_745,3293.569457448381,-3367.3803281919872,0,0,1,1
Cell_746,7617.107940131913,-3355.62626839168,3,5,3,3
Cell_747,6150.335023493221,-3418.905993306967,1,1,1,1
Cell_748,6928.143421017059,-3400.29711535862,1,1,3,3
Cell_749,1369.396909098284,-3414.7760110331396,6,6,0,0
Cell_750,7824.126729013832,-3414.1990815926533,5,5,0,0
Cell_751,13568.302459877006,-3446.259149542523,4,4,4,0
Cell_752,2826.7049630060687,-3478.2824839970067,6,4,4,4
Cell_753,10959.170543849212,-3460.281254892139,0,0,5,5
Cell_754,6394.790090750239,-3460.9673637337237,5,5,0,0
Cell_755,7990.409354937328,-3482.447072760624,1,1,6,6
Cell_756,2258.627073815821,-3489.1977037749457,4,4,4,4
Cell_758,7090.425116237482,-3469.077297925608,5,5,4,4
Cell_759,3410.134151547492,-3543.6117395944507,6,6,0,0
Cell_762,9857.723982184305,-3496.256790665579,0,0,2,2
Cell_763,9392.922944871445,-3495.693496156997,0,0,2,2
Cell_764,1501.3238988068535,-3497.6942675159235,4,4,4,0
Cell_765,8820.197089332714,-3515.3965010063475,2,2,2,2
Cell_766,4729.792425771498,-3524.964147235353,1,1,1,1
Cell_768,8236.942511525276,-3519.266952992632,0,0,2,2
Cell_769,12119.74165046225,-3520.751100194453,1,1,5,5
Cell_770,5463.881487558107,-3538.7068635493574,5,5,6,6
Cell_771,6352.536599241466,-3533.610872313527,5,5,0,0
Cell_772,8686.976694141053,-3553.2972918104674,2,2,2,2
Cell_773,7471.354924142106,-3569.817449207371,5,5,0,0
Cell_775,8911.174744494785,-3555.4040670108525,2,2,2,2
Cell_776,4185.253319768687,-3567.887342043264,3,3,1,1
Cell_777,7130.722304011779,-3569.7008342534664,5,5,4,4
Cell_778,11851.669934346612,-3558.2161165572443,1,1,6,6
Cell_779,11246.724559725877,-3575.227109729859,2,0,3,5
Cell_780,12516.297523681887,-3568.8437452407784,5,5,6,6
Cell_781,5946.968055960361,-3618.711804138735,5,1,0,0
Cell_782,3807.418459370596,-3605.9641615782057,1,1,1,1
Cell_783,1103.228938049995,-3607.852504995968,6,6,0,0
Cell_785,7270.183200653195,-3609.4439001156697,1,5,2,2
Cell_786,1601.9652957247283,-3611.8314996677254,4,4,0,0
Cell_787,4482.7217903849705,-3657.3498250138146,0,0,1,1
Cell_788,4799.313381585592,-3636.806261572126,0,0,6,1
Cell_789,738.7914231950084,-3633.9874550196423,0,0,1,1
Cell_790,7679.134628780935,-3652.242566452796,0,0,2,2
Cell_791,11784.41925676884,-3671.1820522908547,1,1,6,6
Cell_792,12202.976982268316,-3657.1367346938778,1,1,3,3
Cell_793,6667.059836988934,-3653.126300443973,5,5,6,6
Cell_794,2969.7603951666233,-3621.2846321864417,5,5,6,4
Cell_796,7952.439248280926,-3664.4177515187926,0,0,2,2
Cell_798,12375.090340514244,-3671.052660026253,1,1,6,6
Cell_799,10333.018353271247,-3695.358570704906,0,0,5,5
Cell_800,6525.965982224946,-3709.46648570553,3,5,6,6
Cell_801,10033.637036250357,-3712.835209572359,0,0,5,5
Cell_802,1651.940743165821,-3723.521471053637,6,6,0,0
Cell_803,3609.479379251701,-3714.085778061225,2,2,1,1
Cell_804,5773.305833552805,-3762.9867658677904,1,1,0,0
Cell_805,8453.771813626678,-3728.040718769798,2,0,5,5
Cell_806,3776.402959899886,-3744.232493606834,0,0,1,1
Cell_807,8712.713638080846,-3742.9891386475256,0,0,2,2
Cell_808,9047.867991290146,-3744.6459240609693,0,0,2,2
Cell_809,8203.847209245143,-3735.3488566510937,5,5,0,2
Cell_810,8582.778913420987,-3762.574696105185,0,0,5,5
Cell_811,5417.186598249321,-3775.6600664050707,5,5,6,6
Cell_812,9408.94731475187,-3763.201903467029,2,2,3,3
Cell_813,6032.546969509936,-3774.3969880261693,1,1,1,0
Cell_814,9550.15698034176,-3795.349040887239,2,2,3,3
Cell_815,672.3368716827972,-3810.069466125508,0,0,1,1
Cell_816,3902.030204126791,-3796.885821762461,2,3,1,1
Cell_817,4230.941938231095,-3809.1690504220624,1,1,6,1
Cell_818,5895.4847195357825,-3791.68051948052,6,6,0,0
Cell_819,9276.418332742824,-3811.685832869363,0,0,2,2
Cell_820,3048.624989642887,-3808.400903140277,4,4,4,4
Cell_821,6704.930691592503,-3811.354298215085,5,5,0,6
Cell_822,12560.932523775837,-3808.8283423720814,3,3,5,5
Cell_823,10333.050259760705,-3816.2792034005042,0,0,5,5
Cell_824,1844.427432359792,-3810.702024726752,4,4,4,4
Cell_825,2236.4384177030906,-3841.228692650056,4,4,4,4
Cell_826,108.01540766103146,-3832.485020329553,5,5,0,0
Cell_827,1438.3206240057473,-3826.68994714425,6,6,0,0
Cell_828,8879.554695895122,-3829.4031807436068,3,3,3,3
Cell_829,3578.1234880227685,-3838.7704956913594,3,3,1,1
Cell_830,7448.770508826585,-3819.146733486839,6,6,0,0
Cell_831,10576.75194736842,-3822.1405789473683,0,0,5,5
Cell_833,6302.396338883975,-3841.6976118140215,1,1,1,1
Cell_834,12992.620841804732,-3845.9296621533936,6,6,0,0
Cell_836,2725.083333333333,-3874.883493418712,5,5,0,0
Cell_837,3774.1186925434117,-3865.1095675859724,3,3,1,1
Cell_838,4009.7132095420598,-3865.1050023128255,3,3,1,1
Cell_839,10959.01313668846,-3894.057625057017,0,0,5,5
Cell_841,9777.324634356179,-3914.9215989058257,0,0,5,5
Cell_842,12823.947593435389,-3842.2632280604976,6,6,0,0
Cell_843,1749.1158090305146,-3885.929343542394,4,4,4,4
Cell_844,3282.649566803465,-3904.619699042408,3,3,6,1
Cell_845,5861.074998143609,-3897.4433801143537,6,6,0,0
Cell_846,7759.2774593410695,-3892.388741320658,2,0,2,2
Cell_847,1063.2117562466294,-3894.467433638924,6,6,0,0
Cell_848,11682.884092443188,-3914.266658095207,0,0,5,5
Cell_849,6156.49393147399,-3933.7135798933086,1,1,0,0
Cell_851,7133.851342953809,-3923.460747082787,5,5,6,6
Cell_852,13123.788228652082,-3866.35525758645,6,6,0,0
Cell_853,5178.46541359105,-3925.994064378662,1,1,6,6
Cell_854,7322.985408943923,-3939.7301837684363,1,1,4,6
Cell_855,8919.350394226914,-3961.0973317296985,1,1,3,3
Cell_856,3863.6654873220455,-3937.3167382697334,3,3,1,1
Cell_857,8513.791838161062,-3981.2533587015614,0,0,2,2
Cell_858,12887.398082629536,-3975.5589134900706,6,6,0,0
Cell_859,782.4121625974361,-3939.2093023255816,4,4,4,4
Cell_860,12078.410949241746,-3982.0589511950297,2,0,3,3
Cell_861,7935.386518546414,-3958.638109583881,0,2,2,2
Cell_862,9099.131545899787,-3967.934321235715,2,2,2,2
Cell_864,3750.048136768298,-3970.447490742929,3,3,1,1
Cell_865,1034.2263843648211,-3998.237649294245,6,6,0,0
Cell_866,4769.427440025344,-3992.342337931631,2,2,1,1
Cell_867,9235.25814054998,-3998.9921431689213,0,0,2,2
Cell_868,3456.815540171251,-3988.7353798506106,2,2,1,1
Cell_869,12491.708645336963,-4008.2386355041217,3,3,3,3
Cell_870,10157.439786500612,-4012.1302494532783,1,1,5,5
Cell_871,10538.738789176137,-4038.88435150118,5,5,0,0
Cell_872,748.4462719298245,-4043.666860165119,4,4,4,4
Cell_873,5588.019769409111,-4023.030609687324,1,1,6,6
Cell_874,11490.64479064076,-4026.507804339392,0,0,5,5
Cell_875,1772.644380733945,-4035.4541857798167,4,4,4,4
Cell_876,8191.038769906646,-4025.356562328391,2,2,2,2
Cell_877,11777.84633503673,-4081.345456723092,0,0,5,5
Cell_878,271.6287620029645,-4060.6369143520005,5,5,6,6
Cell_879,3342.2850573665996,-4059.9462757239116,2,2,1,1
Cell_880,5852.138549633603,-4056.0281504024347,1,1,2,2
Cell_881,7719.53205760505,-4061.326034063261,1,1,6,6
Cell_882,6884.285560923242,-4043.078739832363,2,2,6,6
Cell_883,9016.514427307677,-4071.174285581955,2,2,3,3
Cell_884,10429.488068181818,-4068.428282828283,5,5,0,0
Cell_885,1366.691427179737,-4064.546273745738,4,4,4,4
Cell_887,10954.612974456912,-4066.9485557412268,0,0,5,5
Cell_888,8054.2256135285625,-4090.966642606723,2,2,2,2
Cell_889,520.0736071235385,-4119.050014563309,2,2,6,6
Cell_890,8786.693620537368,-4055.975524973645,1,1,3,3
Cell_891,7196.321908464633,-4122.946661210013,3,3,6,6
Cell_892,8234.372737719046,-4125.4087187589785,3,3,0,0
Cell_893,11660.28853403363,-4105.897793214452,0,0,5,5
Cell_894,2319.6146824438542,-4116.4630765515585,4,4,4,4
Cell_895,8336.307028581701,-4104.684522739529,5,5,0,0
Cell_896,9305.39175919389,-4114.55939926834,5,5,2,2
Cell_898,3783.482253404871,-4135.830633512175,5,3,6,6
Cell_899,5578.880079911676,-4178.390568319226,1,1,6,6
Cell_900,12762.8910543131,-4156.292058420811,5,5,0,0
Cell_901,1439.4168957496302,-4167.933231127088,4,4,4,4
Cell_902,1985.5217171376544,-4168.474000134889,6,4,0,4
Cell_903,2951.0946610556202,-4220.8890635298885,0,0,1,1
Cell_904,7337.274406838131,-4179.941776227529,3,3,6,6
Cell_905,4685.492397660819,-4187.108966861599,3,3,1,1
Cell_906,3669.9610910962433,-4214.5406587750895,3,3,1,1
Cell_907,4449.7279960663345,-4209.0154217513755,2,2,1,1
Cell_908,6790.297630799604,-4214.663499506417,3,3,6,6
Cell_909,11957.344885078002,-4245.7943908538755,0,0,5,5
Cell_910,10013.7860017002,-4243.505355624823,1,1,0,0
Cell_911,7844.891001335113,-4251.7488918558065,3,3,3,3
Cell_912,8104.4749346120325,-4266.155013077594,3,3,3,3
Cell_913,10382.00836254593,-4228.647506018499,3,3,5,5
Cell_914,1356.266998548019,-4256.0287907073225,4,4,4,4
Cell_915,5847.9580994958615,-4281.233139922001,5,5,4,4
Cell_916,5332.54306606581,-4260.01607006207,4,4,4,4
Cell_917,12070.102826193192,-4271.171404137483,0,0,5,5
Cell_918,9367.796592453224,-4242.7804606111295,2,2,2,2
Cell_919,10767.546983929566,-4272.920073315223,0,0,5,5
Cell_922,11290.035090993933,-4284.933691087261,0,0,5,5
Cell_923,5750.941156208738,-4303.824214937712,5,5,4,4
Cell_924,10252.275977301388,-4289.6375157629245,3,3,3,3
Cell_925,7737.191930811179,-4299.386971710975,3,3,3,3
Cell_926,8943.66074735293,-4304.8348606428945,3,3,2,2
Cell_927,12646.787178180964,-4309.792703475841,5,5,0,0
Cell_928,6303.05060330425,-4309.25598663449,1,1,6,6
Cell_929,9083.162116381029,-4314.891490633719,3,3,2,2
Cell_931,6712.636660309388,-4330.937317228227,2,2,6,6
Cell_932,1948.3699293048305,-4352.741415586602,4,4,4,4
Cell_933,10098.50818359103,-4373.87512188327,1,1,0,0
Cell_934,8753.996938150643,-4325.895948152685,3,3,3,3
Cell_935,2537.5755180892165,-4336.26565975881,4,4,4,4
Cell_936,10545.861418614186,-4326.389862648626,3,3,3,5
Cell_937,505.15639252611453,-4349.022068559659,0,0,1,1
Cell_938,11370.783754397185,-4339.963223536936,0,0,5,5
Cell_939,9717.470657651336,-4324.272182177712,2,2,3,3
Cell_940,9939.485369805567,-4341.076057948913,1,1,3,3
Cell_941,3660.9940001874943,-4358.552076497609,4,3,6,6
Cell_942,6479.992010619115,-4357.088459226608,1,1,6,6
Cell_943,7993.258298254089,-4362.059554206059,1,1,3,3
Cell_944,5090.3202307969705,-4366.631365949433,2,2,2,2
Cell_945,5594.584488984248,-4379.427704223141,2,2,1,1
Cell_946,9282.318675237326,-4384.267123579243,0,0,2,2
Cell_947,13005.224215784216,-4365.377462537463,5,5,6,0
Cell_948,11466.868311385231,-4387.958868144691,0,0,5,5
Cell_949,4026.926391171637,-4400.282842216483,0,0,1,1
Cell_950,12262.636831431426,-4374.9196960983145,2,2,5,5
Cell_951,11857.508624594904,-4379.1624560058535,2,0,6,5
Cell_952,3128.7096380984412,-4388.197637762179,2,2,6,6
Cell_953,10907.856566954897,-4409.327734283711,0,0,5,5
Cell_954,4428.767043748123,-4436.620332365602,6,2,0,1
Cell_955,5348.317915347638,-4438.997713682729,4,4,4,4
Cell_956,5698.067746199605,-4435.666115884556,1,1,6,6
Cell_957,8476.76499357771,-4457.631162928565,2,3,2,2
Cell_958,1048.8454996456414,-4449.125868178597,4,4,4,4
Cell_959,8161.660191323321,-4444.022698665772,0,0,2,2
Cell_960,8604.725312361259,-4446.922115811505,3,3,2,2
Cell_961,7998.739683173589,-4458.298256123536,1,1,3,3
Cell_962,9095.53261856138,-4441.630530973453,5,5,3,2
Cell_963,4914.179944331603,-4457.843413826826,3,3,2,2
Cell_964,9745.209134002751,-4459.4402874764255,3,3,3,3
Cell_966,10372.131967080846,-4461.246796837179,0,3,5,5
Cell_968,2850.9632810909834,-4462.5099124771,4,4,4,1
Cell_969,7353.469872953053,-4484.15194011873,1,3,3,3
Cell_970,3300.397051460361,-4502.871599443672,3,3,1,1
Cell_971,5954.833000912748,-4494.795172576993,0,0,1,4
Cell_972,12773.075481842998,-4496.903962279758,6,5,0,0
Cell_973,7217.1020493226815,-4512.548662730114,0,1,2,2
Cell_974,11523.030463836478,-4523.458529874214,1,1,2,5
Cell_975,1761.8012567324954,-4522.6203321364455,6,4,0,4
Cell_976,6377.52802425318,-4532.3883096716945,1,1,6,6
Cell_977,2160.076777382548,-4533.9181410819065,4,4,4,4
Cell_978,4667.585570599613,-4535.211528046421,2,2,5,5
Cell_979,1527.9428313912315,-4568.551406682547,4,4,4,4
Cell_980,3020.7697645079893,-4585.121250350435,3,3,6,6
Cell_981,2673.1640915119365,-4595.941677718833,2,2,1,1
Cell_982,8958.317872790452,-4606.870876768898,5,5,0,0
Cell_983,12504.30720104802,-4606.074753346706,2,5,3,3
Cell_984,875.4499160928187,-4599.630461200161,6,6,0,0
Cell_985,8133.257246243031,-4604.292249750766,2,2,2,2
Cell_986,1030.0868077827668,-4611.247095716628,6,6,0,0
Cell_987,7737.279278482692,-4601.05004642115,3,3,3,3
Cell_988,12274.832792875086,-4608.4011418132,5,5,3,3
Cell_989,3712.8639221253297,-4610.232474819171,3,3,1,1
Cell_990,6594.734809054995,-4615.532012290713,2,1,6,6
Cell_991,789.2481446101845,-4603.1506356087875,6,6,0,0
Cell_992,5386.76629618504,-4617.030554005923,5,5,0,0
Cell_993,9737.27729442432,-4635.883442228917,0,0,5,5
Cell_994,4308.290650632816,-4639.493374902572,0,0,1,1
Cell_995,9161.504534749713,-4620.636368191612,5,5,0,0
Cell_996,6711.153800973318,-4613.8250964927,1,1,6,6
Cell_997,10022.468123297846,-4595.155886358009,1,1,2,2
Cell_999,3258.6226586263947,-4655.707881957415,3,3,1,1
Cell_1000,4690.949620920778,-4651.410669157235,2,2,1,1
Cell_1001,1400.2865769560517,-4631.991016513214,4,4,4,4
Cell_1002,10503.717276784217,-4660.155789685602,2,2,3,3
Cell_1003,11439.904257595208,-4660.364142062474,1,1,5,5
Cell_1004,4090.799374894408,-4671.37610519795,0,0,1,1
Cell_1005,7869.895979634832,-4685.837283473783,1,1,3,3
Cell_1006,3735.9517048295174,-4693.144085591441,3,3,1,1
Cell_1007,9277.507731958764,-4693.204447374729,5,5,3,3
Cell_1008,463.19616111676595,-4696.772429838592,5,5,0,0
Cell_1009,10673.248412040874,-4714.933305716653,1,1,6,6
Cell_1010,8658.989515786921,-4699.540573298588,3,3,2,2
Cell_1011,8795.684210526315,-4709.1822348664455,2,2,2,2
Cell_1012,2944.235428695936,-4720.446925954171,3,3,1,1
Cell_1013,8071.622312012053,-4716.891453225586,3,3,3,3
Cell_1014,11142.130824877866,-4749.690811724916,3,1,3,3
Cell_1015,13656.699641189858,-4746.997492187199,5,5,6,6
Cell_1016,11393.03633260937,-4761.438814768849,1,1,3,3
Cell_1018,6947.481365435357,-4727.707330145119,1,1,0,0
Cell_1019,12685.374858937246,-4757.397723369805,5,5,6,6
Cell_1020,6671.79757130754,-4759.836091499577,3,3,6,6
